"PolicyNum","Year","PolicyCountyCode","TypeCity","TypeCounty","TypeMisc","TypeSchool","TypeTown","TypeVillage","AC00","AC05","AC10","AC15","FAlnCovRat","BIlnCovRat","ARlnCovRat","ADDlnCovRat","GClnCovRat","MS1lnCovRat","MS2lnCovRat","PWlnCovRat","SAlnCovRat","ZOOlnCovRat","VPlnCovRat","offset1","Coverage","Premium","Deduct","lnDeduct","Freq","y","yAvg","Claim","Fire5","NoClaimCredit","Coverage1","Coverage2","Coverage3","Deduct1","Deduct2","Deduct3","lnDeduct1","lnDeduct2","lnDeduct3","Premium1","Premium2","Premium3","Freq1","Freq2","Freq3","y1","y2","y3","yAvg1","yAvg2","yAvg3","Claim1","Claim2","Claim3","CoveragePN","CoveragePO","CoverageCN","CoverageCO","CoverageIM","DeductPN","DeductPO","DeductCN","DeductCO","DeductIM","lnDeductPN","lnDeductPO","lnDeductCN","lnDeductCO","lnDeductIM","PremiumPN","PremiumPO","PremiumCN","PremiumCO","PremiumIM","FreqPN","FreqPO","FreqCN","FreqCO","FreqIM","yPN","yPO","yCN","yCO","yIM","yAvgPN","yAvgPO","yAvgCN","yAvgCO","yAvgIM","ClaimPN","ClaimPO","ClaimCN","ClaimCO","ClaimIM","IsACV","IsRC","LAE","IsCNA","IsCOA","IsPNA","IsPOA","IsCNR","IsCOR","IsPNR","IsPOR","CoveragePNA","CoveragePNR","CoveragePOA","CoveragePOR","CoverageCNA","CoverageCNR","CoverageCOA","CoverageCOR","DeductPNA","DeductPNR","DeductPOA","DeductPOR","DeductCNA","DeductCNR","DeductCOA","DeductCOR","lnDeductPNA","lnDeductPNR","lnDeductPOA","lnDeductPOR","lnDeductCNA","lnDeductCNR","lnDeductCOA","lnDeductCOR","PremiumPNA","PremiumPNR","PremiumPOA","PremiumPOR","PremiumCNA","PremiumCNR","PremiumCOA","PremiumCOR","FreqPNA","FreqPNR","FreqPOA","FreqPOR","FreqCNA","FreqCNR","FreqCOA","FreqCOR","yPNA","yPNR","yPOA","yPOR","yCNA","yCNR","yCOA","yCOR","yAvgPNA","yAvgPNR","yAvgPOA","yAvgPOR","yAvgCNA","yAvgCNR","yAvgCOA","yAvgCOR","ClaimPNA","ClaimPNR","ClaimPOA","ClaimPOR","ClaimCNA","ClaimCNR","ClaimCOA","ClaimCOR"
120002,2011,"ASH",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.390594324802663,0.842113907052442,0,0,0,0,0,22.705449,7266,1000,6.90775527898214,0,0,0,0,1,0,22.705449,22.705449,22.705449,1000,1000,1000,6.90775527898214,6.90775527898214,6.90775527898214,2498,1816,2952,0,0,0,0,0,0,0,0,0,0,0,0,0.497018,2.32786,0.497018,2.32786,4.485951,50000,50000,25000,25000,1000,10.8197782844103,10.8197782844103,10.1266311038503,10.1266311038503,6.90775527898214,755,4423,2873,17133,10452,3,1,0,1,1,14345.87,12033.22,0,4556.79,7896.95,4781.95666666667,12033.22,0,4556.79,7896.95,14345.87,12033.22,0,4556.79,7896.95,0,1,0,0,0,0,0,1,1,1,1,0,0.497018,0,2.32786,0,0.497018,0,2.32786,0,1000,0,1000,0,1000,0,1000,0,6.90775527898214,0,6.90775527898214,0,6.90775527898214,0,6.90775527898214,0,755,0,4423,0,2873,0,17133,0,3,0,1,0,0,0,1,0,14345.87,0,12033.22,0,0,0,4556.79,0,4781.95666666667,0,12033.22,0,0,0,4556.79,0,14345.87,0,12033.22,0,0,0,4556.79
120002,2012,"ASH",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.381247338789804,0.825601007030048,0,0,0,0,0,23.378094,7013,1000,6.90775527898214,1,887.52,887.52,887.52,1,0,23.378094,23.378094,23.378094,1000,1000,1000,6.90775527898214,6.90775527898214,6.90775527898214,2572,1636,2805,0,0,1,0,0,887.52,0,0,887.52,0,0,887.52,0.329082,2.54386,0.329082,2.54386,4.080493,50000,50000,25000,25000,1000,10.8197782844103,10.8197782844103,10.1266311038503,10.1266311038503,6.90775527898214,500,4833,1902,18723,9508,0,1,0,0,0,0,34879.65,0,0,0,0,34879.65,0,0,0,0,34879.65,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0.329082,0,2.54386,0,0.329082,0,2.54386,0,1000,0,1000,0,1000,0,1000,0,6.90775527898214,0,6.90775527898214,0,6.90775527898214,0,6.90775527898214,0,500,0,4833,0,1902,0,18723,0,0,0,1,0,0,0,0,0,0,0,34879.65,0,0,0,0,0,0,0,34879.65,0,0,0,0,0,0,0,34879.65,0,0,0,0
120002,2013,"ASH",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.381512963217985,0.826071913441791,0,0,0,0,0,23.358518,9344,1000,6.90775527898214,0,0,0,0,1,0,23.358518,23.358518,23.358518,1000,1000,1000,6.90775527898214,6.90775527898214,6.90775527898214,2803,2336,4205,0,0,0,0,0,0,0,0,0,0,0,0,0.393598,2.39671,0.393598,2.39671,3.826721,50000,50000,25000,25000,1000,10.8197782844103,10.8197782844103,10.1266311038503,10.1266311038503,6.90775527898214,579,4434,2212,17113,6689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0.393598,0,2.39671,0,0.393598,0,2.39671,0,1000,0,1000,0,1000,0,1000,0,6.90775527898214,0,6.90775527898214,0,6.90775527898214,0,6.90775527898214,0,579,0,4434,0,2212,0,17113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120003,2011,"BAR",0,1,0,0,0,0,0,0,0,0,0.0808382466170037,0,0,0,0,0.0816145165269508,0.351345050576649,0,0.0224782482792891,0,0.0255540791893846,0,118.771179,38007,5000,8.51719319141624,0,0,0,0,1,0,118.771179,118.771179,118.771179,5000,5000,5000,8.51719319141624,8.51719319141624,8.51719319141624,13065,13065,11877,0,0,0,0,0,0,0,0,0,0,0,0,1.592299,5.010964,1.592299,4.945964,12.496976,50000,50000,25000,25000,5000,10.8197782844103,10.8197782844103,10.1266311038503,10.1266311038503,8.51719319141624,2420,9521,9203,36402,10123,3,2,1,2,2,5150.86,4453.09,1673.75,73476.07,147240.74,1716.95333333333,2226.545,1673.75,36738.035,73620.37,5150.86,4453.09,1673.75,73476.07,147240.74,0,1,0,0,0,0,0,1,1,1,1,0,1.592299,0,5.010964,0,1.592299,0,4.945964,0,1000,0,1000,0,1000,0,1000,0,6.90775527898214,0,6.90775527898214,0,6.90775527898214,0,6.90775527898214,0,2420,0,9521,0,9203,0,36402,0,3,0,2,0,1,0,2,0,5150.86,0,4453.09,0,1673.75,0,73476.07,0,1716.95333333333,0,2226.545,0,1673.75,0,36738.035,0,5150.86,0,4453.09,0,1673.75,0,73476.07
120003,2012,"BAR",0,1,0,0,0,0,0,0,0,0,0.0783018483173925,0,0,0,0,0.0790547121470712,0.341634045044607,0,0.0217529218868853,0,0.0256583798583646,0,122.776151,50338,5000,8.51719319141624,0,0,0,0,1,0,122.776151,122.776151,122.776151,5000,5000,5000,8.51719319141624,8.51719319141624,8.51719319141624,14733,17189,18416,0,0,0,0,0,0,0,0,0,0,0,0,1.96113,4.85907,1.96113,4.79407,12.869683,50000,50000,25000,25000,5000,10.8197782844103,10.8197782844103,10.1266311038503,10.1266311038503,8.51719319141624,2883,8989,11022,34230,7825,3,0,0,1,1,8213.63,0,0,2228.03,72303,2737.87666666667,0,0,2228.03,72303,8213.63,0,0,2228.03,72303,0,1,0,0,0,0,0,1,1,1,1,0,1.96113,0,4.85907,0,1.96113,0,4.79407,0,1000,0,1000,0,1000,0,1000,0,6.90775527898214,0,6.90775527898214,0,6.90775527898214,0,6.90775527898214,0,2883,0,8989,0,11022,0,34230,0,3,0,0,0,0,0,1,0,8213.63,0,0,0,0,0,2228.03,0,2737.87666666667,0,0,0,0,0,2228.03,0,8213.63,0,0,0,0,0,2228.03
120003,2013,"BAR",0,1,0,0,0,0,0,0,0,0,0.0778710023991151,0,0,0,0,0.0786198843926666,0.33997753386653,0,0.0216298446307075,0,0,0,123.482393,60507,5000,8.51719319141624,1,32224.57,32224.57,32224.57,1,1,123.482393,123.482393,123.482393,5000,5000,5000,8.51719319141624,8.51719319141624,8.51719319141624,17288,22227,20992,1,0,0,32224.57,0,0,32224.57,0,0,32224.57,0,0,2.215845,5.146764,2.215845,5.081764,12.424531,50000,50000,25000,25000,5000,10.8197782844103,10.8197782844103,10.1266311038503,10.1266311038503,8.51719319141624,3257,9522,12453,36284,7579,0,0,1,1,0,0,0,4071.25,5529.26,0,0,0,4071.25,5529.26,0,0,0,4071.25,5529.26,0,0,1,0,0,0,0,0,1,1,1,1,0,2.215845,0,5.146764,0,2.215845,0,5.081764,0,1000,0,1000,0,1000,0,1000,0,6.90775527898214,0,6.90775527898214,0,6.90775527898214,0,6.90775527898214,0,3257,0,9522,0,12453,0,36284,0,0,0,0,0,1,0,1,0,0,0,0,0,4071.25,0,5529.26,0,0,0,0,0,4071.25,0,5529.26,0,0,0,0,0,4071.25,0,5529.26
120004,2011,"BAY",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0588922303238668,0,0,0,0,0,-0.162518929497775,32.970152,17475,1000,6.90775527898214,0,0,0,0,1,0,32.970152,32.970152,32.970152,1000,1000,1000,6.90775527898214,6.90775527898214,6.90775527898214,8243,4946,4286,0,0,0,0,0,0,0,0,0,0,0,0,0.304052,0.914161,0.304052,0.914161,4.237549,50000,50000,25000,25000,5000,10.8197782844103,10.8197782844103,10.1266311038503,10.1266311038503,8.51719319141624,511,1938,1955,7478,3432,4,1,1,0,0,26272.53,1849.41,1130.34,0,0,6568.1325,1849.41,1130.34,0,0,26272.53,1849.41,1130.34,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0.304052,0,0.914161,0,0.304052,0,0.914161,0,500,0,500,0,500,0,500,0,6.21460809842219,0,6.21460809842219,0,6.21460809842219,0,6.21460809842219,0,511,0,1938,0,1955,0,7478,0,4,0,1,0,1,0,0,0,26272.53,0,1849.41,0,1130.34,0,0,0,6568.1325,0,1849.41,0,1130.34,0,0,0,26272.53,0,1849.41,0,1130.34,0,0
120004,2012,"BAY",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0571114769352158,0,0,0,0,0,-0.162518929497775,34.028749,23480,1000,6.90775527898214,0,0,0,0,1,0,34.028749,34.028749,34.028749,1000,1000,1000,6.90775527898214,6.90775527898214,6.90775527898214,9868,6806,6806,0,0,0,0,0,0,0,0,0,0,0,0,0.279567,1.005752,0.279567,1.005752,3.847952,50000,50000,25000,25000,5000,10.8197782844103,10.8197782844103,10.1266311038503,10.1266311038503,8.51719319141624,456,2072,1744,7976,2340,3,3,1,0,0,5150.84,8030.86,1961.9,0,0,1716.94666666667,2676.95333333333,1961.9,0,0,5150.84,8030.86,1961.9,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0.279567,0,1.005752,0,0.279567,0,1.005752,0,500,0,500,0,500,0,500,0,6.21460809842219,0,6.21460809842219,0,6.21460809842219,0,6.21460809842219,0,456,0,2072,0,1744,0,7976,0,3,0,3,0,1,0,0,0,5150.84,0,8030.86,0,1961.9,0,0,0,1716.94666666667,0,2676.95333333333,0,1961.9,0,0,0,5150.84,0,8030.86,0,1961.9,0,0
120004,2013,"BAY",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0567527505467172,0,0,0,0,0,-0.162518929497775,34.250041,27401,1000,6.90775527898214,0,0,0,0,1,1,34.250041,34.250041,34.250041,1000,1000,1000,6.90775527898214,6.90775527898214,6.90775527898214,11645,7878,7878,0,0,0,0,0,0,0,0,0,0,0,0,0.601915,0.715249,0.601915,0.715249,4.424273,50000,50000,25000,25000,5000,10.8197782844103,10.8197782844103,10.1266311038503,10.1266311038503,8.51719319141624,981,1473,3756,5672,2699,1,0,0,2,0,2445.05,0,0,2850.38,0,2445.05,0,0,1425.19,0,2445.05,0,0,2850.38,0,0,1,0,0,0,0,0,1,1,1,1,0,0.601915,0,0.715249,0,0.601915,0,0.715249,0,500,0,500,0,500,0,500,0,6.21460809842219,0,6.21460809842219,0,6.21460809842219,0,6.21460809842219,0,981,0,1473,0,3756,0,5672,0,1,0,0,0,0,0,2,0,2445.05,0,0,0,0,0,2850.38,0,2445.05,0,0,0,0,0,1425.19,0,2445.05,0,0,0,0,0,2850.38
120005,2011,"IOW",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.025468526238071,0,0,0.0600686915761316,0,0,-0.162518929497775,38.766271,15507,5000,8.51719319141624,1,2123.94,2123.94,2123.94,1,0,38.766271,38.766271,38.766271,5000,5000,5000,8.51719319141624,8.51719319141624,8.51719319141624,6590,3877,5040,0,1,0,0,2123.94,0,0,2123.94,0,0,2123.94,0,0.822286,4.235453,0.822286,4.235453,5.594872,50000,50000,25000,25000,500,10.8197782844103,10.8197782844103,10.1266311038503,10.1266311038503,6.21460809842219,1250,8047,4753,31173,13372,1,1,0,1,0,3006.15,2699.12,0,32557.57,0,3006.15,2699.12,0,32557.57,0,3006.15,2699.12,0,32557.57,0,0,1,0,0,0,0,0,1,1,1,1,0,0.822286,0,4.235453,0,0.822286,0,4.235453,0,1000,0,1000,0,1000,0,1000,0,6.90775527898214,0,6.90775527898214,0,6.90775527898214,0,6.90775527898214,0,1250,0,8047,0,4753,0,31173,0,1,0,1,0,0,0,1,0,3006.15,0,2699.12,0,0,0,32557.57,0,3006.15,0,2699.12,0,0,0,32557.57,0,3006.15,0,2699.12,0,0,0,32557.57
